gene.x,gene.y,weight.Integrated_score,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Integrated score,interaction,name,selected,shared interaction,shared name
SMARCC1,UBAP2L,0.223,0,0.103,0.352,0.179,0.199,0.104,0.223,interacts-with,SMARCC1 (interacts-with) UBAP2L,FALSE,interacts-with,SMARCC1 (interacts-with) UBAP2L
SMARCC2,SMARCE1,0.872,0,0.045,0.368,0.707,0.514,0.378,0.872,interacts-with,SMARCC2 (interacts-with) SMARCE1,FALSE,interacts-with,SMARCC2 (interacts-with) SMARCE1
SMARCC2,SMARCD2,0.878,0,0.055,0.287,0.805,0.483,0.627,0.878,interacts-with,SMARCC2 (interacts-with) SMARCD2,FALSE,interacts-with,SMARCC2 (interacts-with) SMARCD2
SMARCC2,SMARCD1,0.845,1,0.03,0.462,0.653,0.38,0.71,0.845,interacts-with,SMARCC2 (interacts-with) SMARCD1,FALSE,interacts-with,SMARCC2 (interacts-with) SMARCD1
SMARCC2,SS18,0.46,0,0.082,0.186,0.5,0.23,0.164,0.46,interacts-with,SMARCC2 (interacts-with) SS18,FALSE,interacts-with,SMARCC2 (interacts-with) SS18
NUP205,RANBP2,0.62,0,0.226,0.361,0.487,0.488,0.013,0.62,interacts-with,NUP205 (interacts-with) RANBP2,FALSE,interacts-with,NUP205 (interacts-with) RANBP2
SMARCC2,UBAP2L,0.225,0,0.028,0.267,0.204,0.245,0.122,0.225,interacts-with,SMARCC2 (interacts-with) UBAP2L,FALSE,interacts-with,SMARCC2 (interacts-with) UBAP2L
SMARCD1,SMARCE1,0.768,1,0.115,0.305,0.644,0.349,0.005,0.768,interacts-with,SMARCD1 (interacts-with) SMARCE1,FALSE,interacts-with,SMARCD1 (interacts-with) SMARCE1
SMARCD1,SMARCD2,0.765,0,0.133,0.234,0.649,0.322,0.348,0.765,interacts-with,SMARCD1 (interacts-with) SMARCD2,FALSE,interacts-with,SMARCD1 (interacts-with) SMARCD2
SMARCD1,SS18,0.544,0,0.037,0.332,0.574,0.192,0.004,0.544,interacts-with,SMARCD1 (interacts-with) SS18,FALSE,interacts-with,SMARCD1 (interacts-with) SS18
NUP205,SMPD4,0.5,0,0.043,0.311,0.455,0.452,0.015,0.5,interacts-with,NUP205 (interacts-with) SMPD4,FALSE,interacts-with,NUP205 (interacts-with) SMPD4
SMARCD1,UBAP2L,0.184,0,0.086,0.279,0.198,0.148,0.008,0.184,interacts-with,SMARCD1 (interacts-with) UBAP2L,FALSE,interacts-with,SMARCD1 (interacts-with) UBAP2L
NUP205,TMEM209,0.559,0,0.016,0.395,0.482,0.427,0.036,0.559,interacts-with,NUP205 (interacts-with) TMEM209,FALSE,interacts-with,NUP205 (interacts-with) TMEM209
SMARCD2,SMARCE1,0.879,0,0.204,0.202,0.726,0.521,0.012,0.879,interacts-with,SMARCD2 (interacts-with) SMARCE1,FALSE,interacts-with,SMARCD2 (interacts-with) SMARCE1
SMARCD2,SS18,0.441,0,0.187,0.165,0.489,0.228,0.002,0.441,interacts-with,SMARCD2 (interacts-with) SS18,FALSE,interacts-with,SMARCD2 (interacts-with) SS18
FLII,FLOT2,0.296,0,0.107,0.183,0.436,0.172,0.006,0.296,interacts-with,FLII (interacts-with) FLOT2,FALSE,interacts-with,FLII (interacts-with) FLOT2
FLII,FLOT1,0.42,0,0.116,0.225,0.457,0.183,0.007,0.42,interacts-with,FLII (interacts-with) FLOT1,FALSE,interacts-with,FLII (interacts-with) FLOT1
FLII,GSN,0.44,0,0.086,0.189,0.462,0.093,0.006,0.44,interacts-with,FLII (interacts-with) GSN,FALSE,interacts-with,FLII (interacts-with) GSN
FLII,IQGAP1,0.46,0,0.135,0.271,0.484,0.331,0.004,0.46,interacts-with,FLII (interacts-with) IQGAP1,FALSE,interacts-with,FLII (interacts-with) IQGAP1
FLII,LIMA1,0.251,0,0.043,0.231,0.431,0.166,0.078,0.251,interacts-with,FLII (interacts-with) LIMA1,FALSE,interacts-with,FLII (interacts-with) LIMA1
FLII,LRRFIP2,0.713,0,0.158,0.163,0.526,0.514,0.036,0.713,interacts-with,FLII (interacts-with) LRRFIP2,FALSE,interacts-with,FLII (interacts-with) LRRFIP2
FLII,MYH9,0.32,0,0.165,0.285,0.434,0.192,0.125,0.32,interacts-with,FLII (interacts-with) MYH9,FALSE,interacts-with,FLII (interacts-with) MYH9
FLII,MPRIP,0.26,0,0.076,0.32,0.408,0.212,0.002,0.26,interacts-with,FLII (interacts-with) MPRIP,FALSE,interacts-with,FLII (interacts-with) MPRIP
SMARCE1,SS18,0.511,0,0.061,0.358,0.495,0.212,0.114,0.511,interacts-with,SMARCE1 (interacts-with) SS18,FALSE,interacts-with,SMARCE1 (interacts-with) SS18
FLII,MYO18A,0.245,0,0.119,0.153,0.407,0.285,0.077,0.245,interacts-with,FLII (interacts-with) MYO18A,FALSE,interacts-with,FLII (interacts-with) MYO18A
FLII,MYO5C,0.202,0,0.029,0.172,0.406,0.227,0.089,0.202,interacts-with,FLII (interacts-with) MYO5C,FALSE,interacts-with,FLII (interacts-with) MYO5C
FLII,MYO5B,0.437,0,0.147,0.15,0.46,0.24,0.073,0.437,interacts-with,FLII (interacts-with) MYO5B,FALSE,interacts-with,FLII (interacts-with) MYO5B
FLII,MYO1C,0.37,0,0.026,0.362,0.458,0.162,0.009,0.37,interacts-with,FLII (interacts-with) MYO1C,FALSE,interacts-with,FLII (interacts-with) MYO1C
FLII,NEXN,0.239,0,0.026,0.221,0.412,0.108,0.015,0.239,interacts-with,FLII (interacts-with) NEXN,FALSE,interacts-with,FLII (interacts-with) NEXN
FLII,PLEKHG3,0.221,0,0.047,0.125,0.413,0.171,0.036,0.221,interacts-with,FLII (interacts-with) PLEKHG3,FALSE,interacts-with,FLII (interacts-with) PLEKHG3
FLII,PPP1R12A,0.248,0,0.129,0.222,0.417,0.124,0.013,0.248,interacts-with,FLII (interacts-with) PPP1R12A,FALSE,interacts-with,FLII (interacts-with) PPP1R12A
FLII,PPP1R9B,0.245,0,0.011,0.193,0.409,0.074,0.094,0.245,interacts-with,FLII (interacts-with) PPP1R9B,FALSE,interacts-with,FLII (interacts-with) PPP1R9B
SMARCE1,UBAP2L,0.215,0,0.188,0.342,0.194,0.255,0.01,0.215,interacts-with,SMARCE1 (interacts-with) UBAP2L,FALSE,interacts-with,SMARCE1 (interacts-with) UBAP2L
FLII,RAI14,0.234,0,0.148,0.153,0.417,0.146,0.079,0.234,interacts-with,FLII (interacts-with) RAI14,FALSE,interacts-with,FLII (interacts-with) RAI14
FLII,SIPA1L1,0.2,0,0.035,0.17,0.401,0.07,0.036,0.2,interacts-with,FLII (interacts-with) SIPA1L1,FALSE,interacts-with,FLII (interacts-with) SIPA1L1
FLII,SPECC1,0.216,0,0.152,0.265,0.382,0.204,0.036,0.216,interacts-with,FLII (interacts-with) SPECC1,FALSE,interacts-with,FLII (interacts-with) SPECC1
FLII,SVIL,0.347,0,0.071,0.195,0.436,0.071,0.003,0.347,interacts-with,FLII (interacts-with) SVIL,FALSE,interacts-with,FLII (interacts-with) SVIL
FLII,TMOD1,0.462,0,0.024,0.074,0.503,0.203,0.179,0.462,interacts-with,FLII (interacts-with) TMOD1,FALSE,interacts-with,FLII (interacts-with) TMOD1
SMC1A,SMC3,0.95,0,0.005,0.438,0.682,0.805,0.751,0.95,interacts-with,SMC1A (interacts-with) SMC3,FALSE,interacts-with,SMC1A (interacts-with) SMC3
FLII,TWF1,0.258,0,0.034,0.164,0.395,0.217,0.132,0.258,interacts-with,FLII (interacts-with) TWF1,FALSE,interacts-with,FLII (interacts-with) TWF1
FLII,WDR1,0.267,0,0.108,0.312,0.302,0.315,0.013,0.267,interacts-with,FLII (interacts-with) WDR1,FALSE,interacts-with,FLII (interacts-with) WDR1
SMC1A,STAG2,0.81,0,0.005,0.27,0.652,0.503,0.192,0.81,interacts-with,SMC1A (interacts-with) STAG2,FALSE,interacts-with,SMC1A (interacts-with) STAG2
FLNB,FLOT2,0.315,0,0.041,0.085,0.445,0.131,0.012,0.315,interacts-with,FLNB (interacts-with) FLOT2,FALSE,interacts-with,FLNB (interacts-with) FLOT2
FLNB,GSN,0.259,0,0.084,0.208,0.419,0.235,0.088,0.259,interacts-with,FLNB (interacts-with) GSN,FALSE,interacts-with,FLNB (interacts-with) GSN
FLNB,LIMA1,0.504,0,0.076,0.266,0.468,0.311,0.002,0.504,interacts-with,FLNB (interacts-with) LIMA1,FALSE,interacts-with,FLNB (interacts-with) LIMA1
FLNB,NEXN,0.192,0,0.039,0.111,0.417,0.236,0.002,0.192,interacts-with,FLNB (interacts-with) NEXN,FALSE,interacts-with,FLNB (interacts-with) NEXN
SMC3,STAG2,0.857,0,0.011,0.382,0.669,0.488,0.009,0.857,interacts-with,SMC3 (interacts-with) STAG2,FALSE,interacts-with,SMC3 (interacts-with) STAG2
FLNB,MYO1E,0.219,0,0.033,0.264,0.313,0.232,0.003,0.219,interacts-with,FLNB (interacts-with) MYO1E,FALSE,interacts-with,FLNB (interacts-with) MYO1E
FLNB,MYO1C,0.308,0,0.068,0.325,0.438,0.228,0.078,0.308,interacts-with,FLNB (interacts-with) MYO1C,FALSE,interacts-with,FLNB (interacts-with) MYO1C
FLNB,MYH9,0.425,0,0.022,0.292,0.45,0.214,0.003,0.425,interacts-with,FLNB (interacts-with) MYH9,FALSE,interacts-with,FLNB (interacts-with) MYH9
FLNB,PLEKHG3,0.183,0,0.002,0.165,0.298,0.231,0.036,0.183,interacts-with,FLNB (interacts-with) PLEKHG3,FALSE,interacts-with,FLNB (interacts-with) PLEKHG3
FLNB,PLEC,0.268,0,0.119,0.327,0.427,0.25,0.015,0.268,interacts-with,FLNB (interacts-with) PLEC,FALSE,interacts-with,FLNB (interacts-with) PLEC
FLNB,SVIL,0.3,0,0.077,0.181,0.423,0.326,0.014,0.3,interacts-with,FLNB (interacts-with) SVIL,FALSE,interacts-with,FLNB (interacts-with) SVIL
FLNB,TWF1,0.183,0,0.271,0.194,0.295,0.198,0.003,0.183,interacts-with,FLNB (interacts-with) TWF1,FALSE,interacts-with,FLNB (interacts-with) TWF1
FLNB,WDR1,0.28,0,0.059,0.236,0.391,0.286,0.085,0.28,interacts-with,FLNB (interacts-with) WDR1,FALSE,interacts-with,FLNB (interacts-with) WDR1
NVL,PUM3,0.291,0,0.002,0.293,0.398,0.148,0.507,0.291,interacts-with,NVL (interacts-with) PUM3,FALSE,interacts-with,NVL (interacts-with) PUM3
FLOT1,FLOT2,0.803,0,0.238,0.312,0.519,0.746,0.369,0.803,interacts-with,FLOT1 (interacts-with) FLOT2,FALSE,interacts-with,FLOT1 (interacts-with) FLOT2
FLOT1,GSN,0.364,0,0.02,0.143,0.466,0.082,0.129,0.364,interacts-with,FLOT1 (interacts-with) GSN,FALSE,interacts-with,FLOT1 (interacts-with) GSN
FLOT1,ITPR3,0.274,0,0.021,0.166,0.417,0.259,0.014,0.274,interacts-with,FLOT1 (interacts-with) ITPR3,FALSE,interacts-with,FLOT1 (interacts-with) ITPR3
FLOT1,IQGAP1,0.244,0,0.019,0.186,0.409,0.214,0.109,0.244,interacts-with,FLOT1 (interacts-with) IQGAP1,FALSE,interacts-with,FLOT1 (interacts-with) IQGAP1
FLOT1,LRRFIP2,0.379,0,0.014,0.168,0.451,0.104,0.036,0.379,interacts-with,FLOT1 (interacts-with) LRRFIP2,FALSE,interacts-with,FLOT1 (interacts-with) LRRFIP2
FLOT1,LIMA1,0.387,0,0.116,0.147,0.468,0.14,0.013,0.387,interacts-with,FLOT1 (interacts-with) LIMA1,FALSE,interacts-with,FLOT1 (interacts-with) LIMA1
FLOT1,MYH10,0.268,0,0.083,0.13,0.439,0.132,0.08,0.268,interacts-with,FLOT1 (interacts-with) MYH10,FALSE,interacts-with,FLOT1 (interacts-with) MYH10
FLOT1,MYH9,0.423,0,0.038,0.177,0.467,0.099,0.007,0.423,interacts-with,FLOT1 (interacts-with) MYH9,FALSE,interacts-with,FLOT1 (interacts-with) MYH9
FLOT1,MPRIP,0.195,0,0.022,0.089,0.411,0.132,0.005,0.195,interacts-with,FLOT1 (interacts-with) MPRIP,FALSE,interacts-with,FLOT1 (interacts-with) MPRIP
FLOT1,MYO18A,0.228,0,0.203,0.203,0.425,0.22,0.011,0.228,interacts-with,FLOT1 (interacts-with) MYO18A,FALSE,interacts-with,FLOT1 (interacts-with) MYO18A
FLOT1,MYO5A,0.357,0,0.094,0.131,0.464,0.113,0.003,0.357,interacts-with,FLOT1 (interacts-with) MYO5A,FALSE,interacts-with,FLOT1 (interacts-with) MYO5A
FLOT1,MYO1C,0.22,0,0.113,0.204,0.414,0.127,0.073,0.22,interacts-with,FLOT1 (interacts-with) MYO1C,FALSE,interacts-with,FLOT1 (interacts-with) MYO1C
FLOT1,PPP1R12A,0.225,0,0.106,0.153,0.425,0.173,0.093,0.225,interacts-with,FLOT1 (interacts-with) PPP1R12A,FALSE,interacts-with,FLOT1 (interacts-with) PPP1R12A
FLOT1,PPP1R9B,0.186,0,0.012,0.175,0.39,0.078,0.006,0.186,interacts-with,FLOT1 (interacts-with) PPP1R9B,FALSE,interacts-with,FLOT1 (interacts-with) PPP1R9B
NVL,SKIV2L,0.212,0,0.052,0.188,0.383,0.153,0.148,0.212,interacts-with,NVL (interacts-with) SKIV2L,FALSE,interacts-with,NVL (interacts-with) SKIV2L
NVL,RRP9,0.247,0,0.121,0.269,0.413,0.186,0.368,0.247,interacts-with,NVL (interacts-with) RRP9,FALSE,interacts-with,NVL (interacts-with) RRP9
FLOT1,SPTBN1,0.305,0,0.104,0.173,0.441,0.181,0.08,0.305,interacts-with,FLOT1 (interacts-with) SPTBN1,FALSE,interacts-with,FLOT1 (interacts-with) SPTBN1
FLOT1,SPTAN1,0.226,0,0.201,0.146,0.436,0.101,0.011,0.226,interacts-with,FLOT1 (interacts-with) SPTAN1,FALSE,interacts-with,FLOT1 (interacts-with) SPTAN1
NVL,YTHDC2,0.464,0,0.027,0.287,0.475,0.113,0.182,0.464,interacts-with,NVL (interacts-with) YTHDC2,FALSE,interacts-with,NVL (interacts-with) YTHDC2
FLOT2,IQGAP1,0.195,0,0.117,0.155,0.298,0.248,0.08,0.195,interacts-with,FLOT2 (interacts-with) IQGAP1,FALSE,interacts-with,FLOT2 (interacts-with) IQGAP1
NXF1,RAE1,0.71,0,0.026,0.199,0.564,0.379,0.348,0.71,interacts-with,NXF1 (interacts-with) RAE1,FALSE,interacts-with,NXF1 (interacts-with) RAE1
NXF1,RANBP2,0.739,0,0.11,0.195,0.606,0.3,0.013,0.739,interacts-with,NXF1 (interacts-with) RANBP2,FALSE,interacts-with,NXF1 (interacts-with) RANBP2
FLOT2,LIMA1,0.181,0,0.023,0.111,0.434,0.124,0.008,0.181,interacts-with,FLOT2 (interacts-with) LIMA1,FALSE,interacts-with,FLOT2 (interacts-with) LIMA1
NXF1,SMPD4,0.403,0,0,0.218,0.437,0.301,0.113,0.403,interacts-with,NXF1 (interacts-with) SMPD4,FALSE,interacts-with,NXF1 (interacts-with) SMPD4
NXF1,TMEM209,0.468,0,0.055,0.163,0.5,0.221,0.036,0.468,interacts-with,NXF1 (interacts-with) TMEM209,FALSE,interacts-with,NXF1 (interacts-with) TMEM209
NXF1,WTAP,0.351,0,0.053,0.246,0.429,0.292,0.014,0.351,interacts-with,NXF1 (interacts-with) WTAP,FALSE,interacts-with,NXF1 (interacts-with) WTAP
SMPD4,TMEM209,0.517,0,0.232,0.202,0.462,0.363,0.036,0.517,interacts-with,SMPD4 (interacts-with) TMEM209,FALSE,interacts-with,SMPD4 (interacts-with) TMEM209
OCRL,SEC16A,0.202,0,0.004,0.185,0.388,0.09,0.008,0.202,interacts-with,OCRL (interacts-with) SEC16A,FALSE,interacts-with,OCRL (interacts-with) SEC16A
OCRL,USO1,0.273,0,0.004,0.191,0.424,0.228,0.012,0.273,interacts-with,OCRL (interacts-with) USO1,FALSE,interacts-with,OCRL (interacts-with) USO1
KIAA1671,SPTBN1,0.194,0,0.036,0.269,0.201,0.216,0.036,0.194,interacts-with,KIAA1671 (interacts-with) SPTBN1,FALSE,interacts-with,KIAA1671 (interacts-with) SPTBN1
OGT,RBBP5,0.288,0,0.004,0.165,0.305,0.373,0.084,0.288,interacts-with,OGT (interacts-with) RBBP5,FALSE,interacts-with,OGT (interacts-with) RBBP5
OGT,POGZ,0.208,0,0.011,0.274,0.222,0.264,0.011,0.208,interacts-with,OGT (interacts-with) POGZ,FALSE,interacts-with,OGT (interacts-with) POGZ
SND1,UPF1,0.256,0,0.052,0.163,0.398,0.266,0.148,0.256,interacts-with,SND1 (interacts-with) UPF1,FALSE,interacts-with,SND1 (interacts-with) UPF1
FOXK1,MTA1,0.271,0,0.074,0.267,0.428,0.236,0.083,0.271,interacts-with,FOXK1 (interacts-with) MTA1,FALSE,interacts-with,FOXK1 (interacts-with) MTA1
FOXK1,RAI1,0.251,0,0.113,0.297,0.302,0.115,0.016,0.251,interacts-with,FOXK1 (interacts-with) RAI1,FALSE,interacts-with,FOXK1 (interacts-with) RAI1
CCNL1,CLK2,0.34,0,0.194,0.314,0.435,0.204,0.014,0.34,interacts-with,CCNL1 (interacts-with) CLK2,FALSE,interacts-with,CCNL1 (interacts-with) CLK2
FOXK1,TCF20,0.2,0,0.153,0.286,0.3,0.162,0.098,0.2,interacts-with,FOXK1 (interacts-with) TCF20,FALSE,interacts-with,FOXK1 (interacts-with) TCF20
FOXK1,USP7,0.202,0,0.109,0.212,0.396,0.099,0.211,0.202,interacts-with,FOXK1 (interacts-with) USP7,FALSE,interacts-with,FOXK1 (interacts-with) USP7
CCNL1,NCBP1,0.331,0,0.035,0.075,0.441,0.384,0.014,0.331,interacts-with,CCNL1 (interacts-with) NCBP1,FALSE,interacts-with,CCNL1 (interacts-with) NCBP1
FOXK1,WIZ,0.19,0,0.063,0.246,0.24,0.121,0.123,0.19,interacts-with,FOXK1 (interacts-with) WIZ,FALSE,interacts-with,FOXK1 (interacts-with) WIZ
CCNL1,NKTR,0.318,0,0.064,0.369,0.382,0.219,0.115,0.318,interacts-with,CCNL1 (interacts-with) NKTR,FALSE,interacts-with,CCNL1 (interacts-with) NKTR
CCNL1,SCAF1,0.206,0,0.022,0.103,0.416,0.3,0.036,0.206,interacts-with,CCNL1 (interacts-with) SCAF1,FALSE,interacts-with,CCNL1 (interacts-with) SCAF1
CCNL1,SART3,0.262,0,0.003,0.128,0.393,0.362,0.113,0.262,interacts-with,CCNL1 (interacts-with) SART3,FALSE,interacts-with,CCNL1 (interacts-with) SART3
CCNL2,NXF1,0.191,0,0.14,0.29,0.225,0.178,0.014,0.191,interacts-with,CCNL2 (interacts-with) NXF1,FALSE,interacts-with,CCNL2 (interacts-with) NXF1
ARID1B,DPF2,0.658,0,0.05,0.233,0.513,0.414,0.112,0.658,interacts-with,ARID1B (interacts-with) DPF2,FALSE,interacts-with,ARID1B (interacts-with) DPF2
ORC4,PDS5B,0.182,0,0.151,0.273,0.181,0.201,0.136,0.182,interacts-with,ORC4 (interacts-with) PDS5B,FALSE,interacts-with,ORC4 (interacts-with) PDS5B
ORC4,RAD21,0.202,0,0.033,0.249,0.185,0.259,0.002,0.202,interacts-with,ORC4 (interacts-with) RAD21,FALSE,interacts-with,ORC4 (interacts-with) RAD21
ORC4,SMC3,0.214,0,0.026,0.252,0.181,0.284,0.008,0.214,interacts-with,ORC4 (interacts-with) SMC3,FALSE,interacts-with,ORC4 (interacts-with) SMC3
ORC4,SMC1A,0.203,0,0.012,0.188,0.182,0.299,0.086,0.203,interacts-with,ORC4 (interacts-with) SMC1A,FALSE,interacts-with,ORC4 (interacts-with) SMC1A
ORC4,STAG2,0.208,0,0.011,0.237,0.17,0.31,0.142,0.208,interacts-with,ORC4 (interacts-with) STAG2,FALSE,interacts-with,ORC4 (interacts-with) STAG2
SNRNP200,SNRPA,0.488,0,0.243,0.32,0.453,0.478,0.417,0.488,interacts-with,SNRNP200 (interacts-with) SNRPA,FALSE,interacts-with,SNRNP200 (interacts-with) SNRPA
SNRNP70,ZC3H18,0.236,0,0.197,0.338,0.238,0.415,0.203,0.236,interacts-with,SNRNP70 (interacts-with) ZC3H18,FALSE,interacts-with,SNRNP70 (interacts-with) ZC3H18
ARID1B,SMARCA4,0.731,0,0.024,0.319,0.595,0.477,0.387,0.731,interacts-with,ARID1B (interacts-with) SMARCA4,FALSE,interacts-with,ARID1B (interacts-with) SMARCA4
ARID1B,SMARCC2,0.783,0,0.047,0.282,0.683,0.389,0.448,0.783,interacts-with,ARID1B (interacts-with) SMARCC2,FALSE,interacts-with,ARID1B (interacts-with) SMARCC2
ARID1B,SMARCC1,0.746,0,0.013,0.344,0.678,0.346,0.459,0.746,interacts-with,ARID1B (interacts-with) SMARCC1,FALSE,interacts-with,ARID1B (interacts-with) SMARCC1
ARID1B,SMARCB1,0.877,1,0.052,0.199,0.708,0.406,0.45,0.877,interacts-with,ARID1B (interacts-with) SMARCB1,FALSE,interacts-with,ARID1B (interacts-with) SMARCB1
ARID1B,SMARCE1,0.842,0,0.014,0.249,0.698,0.423,0.098,0.842,interacts-with,ARID1B (interacts-with) SMARCE1,FALSE,interacts-with,ARID1B (interacts-with) SMARCE1
ARID1B,SMARCD2,0.65,0,0.068,0.192,0.55,0.307,0.01,0.65,interacts-with,ARID1B (interacts-with) SMARCD2,FALSE,interacts-with,ARID1B (interacts-with) SMARCD2
ARID1B,SMARCD1,0.806,1,0.031,0.21,0.644,0.258,0.137,0.806,interacts-with,ARID1B (interacts-with) SMARCD1,FALSE,interacts-with,ARID1B (interacts-with) SMARCD1
ARID1B,SS18,0.47,0,0.025,0.209,0.5,0.106,0.087,0.47,interacts-with,ARID1B (interacts-with) SS18,FALSE,interacts-with,ARID1B (interacts-with) SS18
ARID1B,UBAP2L,0.181,0,0.023,0.269,0.184,0.147,0.002,0.181,interacts-with,ARID1B (interacts-with) UBAP2L,FALSE,interacts-with,ARID1B (interacts-with) UBAP2L
SNRNP200,USP39,0.442,0,0.407,0.364,0.401,0.605,0.005,0.442,interacts-with,SNRNP200 (interacts-with) USP39,FALSE,interacts-with,SNRNP200 (interacts-with) USP39
KIF14,MKI67,0.487,0,0.153,0.598,0.133,0.14,0.092,0.487,interacts-with,KIF14 (interacts-with) MKI67,FALSE,interacts-with,KIF14 (interacts-with) MKI67
KIF14,SAAL1,0.236,0,0.105,0.407,0.179,0.213,0.036,0.236,interacts-with,KIF14 (interacts-with) SAAL1,FALSE,interacts-with,KIF14 (interacts-with) SAAL1
KIF14,RACGAP1,0.448,0,0.159,0.613,0.118,0.09,0.085,0.448,interacts-with,KIF14 (interacts-with) RACGAP1,FALSE,interacts-with,KIF14 (interacts-with) RACGAP1
KIF14,STMN1,0.265,0,0.003,0.475,0.132,0.093,0.012,0.265,interacts-with,KIF14 (interacts-with) STMN1,FALSE,interacts-with,KIF14 (interacts-with) STMN1
KIF14,SGO1,0.441,0,0.013,0.604,0.14,0.09,0.144,0.441,interacts-with,KIF14 (interacts-with) SGO1,FALSE,interacts-with,KIF14 (interacts-with) SGO1
KIF14,TPX2,0.598,0,0.065,0.63,0.329,0.192,0.007,0.598,interacts-with,KIF14 (interacts-with) TPX2,FALSE,interacts-with,KIF14 (interacts-with) TPX2
KIF14,TOP2A,0.546,0,0.152,0.628,0.154,0.185,0.078,0.546,interacts-with,KIF14 (interacts-with) TOP2A,FALSE,interacts-with,KIF14 (interacts-with) TOP2A
KIF14,TROAP,0.266,0,0.016,0.495,0.102,0.02,0.036,0.266,interacts-with,KIF14 (interacts-with) TROAP,FALSE,interacts-with,KIF14 (interacts-with) TROAP
DBN1,DOCK7,0.19,0,0.161,0.156,0.344,0.261,0.119,0.19,interacts-with,DBN1 (interacts-with) DOCK7,FALSE,interacts-with,DBN1 (interacts-with) DOCK7
DBN1,FLII,0.424,0,0.156,0.189,0.463,0.096,0.006,0.424,interacts-with,DBN1 (interacts-with) FLII,FALSE,interacts-with,DBN1 (interacts-with) FLII
DBN1,FLOT2,0.36,0,0.03,0.101,0.456,0.107,0.002,0.36,interacts-with,DBN1 (interacts-with) FLOT2,FALSE,interacts-with,DBN1 (interacts-with) FLOT2
DBN1,FLOT1,0.382,0,0.033,0.142,0.471,0.112,0.143,0.382,interacts-with,DBN1 (interacts-with) FLOT1,FALSE,interacts-with,DBN1 (interacts-with) FLOT1
DBN1,FLNB,0.398,0,0.061,0.127,0.476,0.089,0.006,0.398,interacts-with,DBN1 (interacts-with) FLNB,FALSE,interacts-with,DBN1 (interacts-with) FLNB
SNRPA,USP39,0.296,0,0.163,0.316,0.388,0.402,0.008,0.296,interacts-with,SNRPA (interacts-with) USP39,FALSE,interacts-with,SNRPA (interacts-with) USP39
DBN1,GSN,0.419,0,0.022,0.089,0.503,0.108,0.105,0.419,interacts-with,DBN1 (interacts-with) GSN,FALSE,interacts-with,DBN1 (interacts-with) GSN
DBN1,MPRIP,0.244,0,0.057,0.135,0.434,0.253,0.228,0.244,interacts-with,DBN1 (interacts-with) MPRIP,FALSE,interacts-with,DBN1 (interacts-with) MPRIP
DBN1,IQGAP1,0.219,0,0.068,0.222,0.41,0.161,0.012,0.219,interacts-with,DBN1 (interacts-with) IQGAP1,FALSE,interacts-with,DBN1 (interacts-with) IQGAP1
DBN1,LIMA1,0.349,0,0.026,0.157,0.449,0.157,0.014,0.349,interacts-with,DBN1 (interacts-with) LIMA1,FALSE,interacts-with,DBN1 (interacts-with) LIMA1
DBN1,NEXN,0.34,0,0.038,0.125,0.431,0.362,0.014,0.34,interacts-with,DBN1 (interacts-with) NEXN,FALSE,interacts-with,DBN1 (interacts-with) NEXN
DBN1,MYO1B,0.307,0,0.053,0.132,0.44,0.338,0.091,0.307,interacts-with,DBN1 (interacts-with) MYO1B,FALSE,interacts-with,DBN1 (interacts-with) MYO1B
DBN1,MYH10,0.301,0,0.133,0.276,0.391,0.415,0.014,0.301,interacts-with,DBN1 (interacts-with) MYH10,FALSE,interacts-with,DBN1 (interacts-with) MYH10
DBN1,MYH9,0.286,0,0.041,0.178,0.389,0.307,0.016,0.286,interacts-with,DBN1 (interacts-with) MYH9,FALSE,interacts-with,DBN1 (interacts-with) MYH9
DBN1,MYO18A,0.245,0,0.139,0.117,0.438,0.162,0.088,0.245,interacts-with,DBN1 (interacts-with) MYO18A,FALSE,interacts-with,DBN1 (interacts-with) MYO18A
DBN1,MYO5B,0.232,0,0.107,0.164,0.431,0.109,0.084,0.232,interacts-with,DBN1 (interacts-with) MYO5B,FALSE,interacts-with,DBN1 (interacts-with) MYO5B
DBN1,MYO1C,0.266,0,0.099,0.201,0.435,0.102,0,0.266,interacts-with,DBN1 (interacts-with) MYO1C,FALSE,interacts-with,DBN1 (interacts-with) MYO1C
DBN1,PPP1R12A,0.268,0,0.064,0.124,0.412,0.314,0.014,0.268,interacts-with,DBN1 (interacts-with) PPP1R12A,FALSE,interacts-with,DBN1 (interacts-with) PPP1R12A
DBN1,PPP1R9B,0.24,0,0.004,0.202,0.413,0.097,0.002,0.24,interacts-with,DBN1 (interacts-with) PPP1R9B,FALSE,interacts-with,DBN1 (interacts-with) PPP1R9B
DBN1,PLEKHG3,0.28,0,0.052,0.111,0.442,0.096,0.036,0.28,interacts-with,DBN1 (interacts-with) PLEKHG3,FALSE,interacts-with,DBN1 (interacts-with) PLEKHG3
DBN1,SPECC1,0.343,0,0.024,0.168,0.426,0.289,0.036,0.343,interacts-with,DBN1 (interacts-with) SPECC1,FALSE,interacts-with,DBN1 (interacts-with) SPECC1
DBN1,TMOD1,0.277,0,0.061,0.145,0.439,0.153,0.014,0.277,interacts-with,DBN1 (interacts-with) TMOD1,FALSE,interacts-with,DBN1 (interacts-with) TMOD1
